Product Name,Product Name,Rating,MRP,Pack Size,Quantity,,Quantity,Unit,Type,Discount,Category,Key Ingredients,Tokens,Key Ingredients,,,,,
Hyaluronic Bamboo Sheet Mask with Rosehip Oil for Soft & Plump Skin ,Hyaluronic Bamboo Sheet Mask With Rosehip Oil For Soft & Plump Skin ,5,679, 250ml, 250,l,250,ml,Volumn,3%,Hair Shampoo,Onion Seed Oil ,hair regrowth combo onion shampoo onion conditioner,Onion Seed Oil,,,,,
HydraGel Indian Sunscreen with Aloe Vera & Raspberry for Sun Protection ,Hydragel Indian Sunscreen With Aloe Vera & Raspberry For Sun Protection ,5,299, 80ml, 80,l,80,ml,Volumn,0%,Unknown ,Apple Cider Vinegar  Cetearyl Octanoate  Betaine  Fatty Acids ,oil free face moisturizer acne prone skin,Apple Cider Vinegar Cetearyl Octanoate Betaine Fatty Acids,,,,,
Hydrating Natural Body Lotion with Cucumber & Aloe Vera for Normal Skin ,Hydrating Natural Body Lotion With Cucumber & Aloe Vera For Normal Skin ,5,499, 80ml, 80,l,80,ml,Volumn,0%,Unknown ,Carrot Seed Oil ,ultra light indian sunscreen carrot seed turmeric spf 50 pa+++,Carrot Seed Oil,,,,,
Mamaearth Epsom Bath Salt for Relaxation and Pain Relief  ,Mamaearth Epsom Bath Salt For Relaxation And Pain Relief  ,Not Rated,724, 100ml, 100,l,100,ml,Volumn,3%,Body Kit,Saffron  Turmeric  Tanned Skin ,skin lightening brightening combo ubtan facemask ubtan facewash,Saffron Turmeric Tanned Skin,,,,,
Mamaearth Under Eye Cream with Cucumber & Caffeine for Dark Circles ,Mamaearth Under Eye Cream With Cucumber & Caffeine For Dark Circles ,Not Rated,499, 100g, 100,,100,gram,Weight,0%,Face Mask,Saffron ,ubtan face mask saffron turmeric skin brightening tan removal,Saffron,,,,,
Micellar Water Foaming Makeup Remover with Rose Water & Glycolic Acid for Makeup Cleansing ,Micellar Water Foaming Makeup Remover With Rose Water & Glycolic Acid For Makeup Cleansing ,5,249, 100ml, 100,l,100,ml,Volumn,0%,Face Wash,Turmeric  Walnut Beads  Licorice Extract  Carrot Oil ,ubtan face wash tan removal,Turmeric Walnut Beads Licorice Extract Carrot Oil,,,,,
Natural Radiance Day Cream,Natural Radiance Day Cream,4.8,1199,NA,NA,,NA,NA,NA,25%,Hair Kit,Bhringraj Oil  Biotin  ,anti hair fall kit complete hair care,Bhringraj Oil Biotin,,,,,
Neem Body Scrub with Neem & Tulsi for Skin Purification ,Neem Body Scrub With Neem & Tulsi For Skin Purification ,4.8,599, 200ml, 200,l,200,ml,Volumn,0%,Hair Oil,Argan Oil ,argan hair mask argan avocado oil milk protein frizz free strong hair,Argan Oil,,,,,
Neem Face Mask with Neem and Tea Tree for Pimples and Zits ,Neem Face Mask With Neem And Tea Tree For Pimples And Zits ,5,399, 150ml, 150,l,150,ml,Volumn,0%,Face Wash,Apple Cider Vinegar Aloe Vera Water Cucumber Neem,apple cider vinegar foaming face wash apple cider vinegar aloe vera water deep cleansing,Apple Cider Vinegar Aloe Vera Water Cucumber Neem,,,,,
Niacin Face Toner with Niacinamide & Witch Hazel for Acne and Open Pores  ,Niacin Face Toner With Niacinamide & Witch Hazel For Acne And Open Pores  ,5,399, 150ml, 150,l,150,ml,Volumn,0%,Face Wash,Turmeric Saffron Neem Oil Aloe Vera,ubtan foam face wash turmeric saffron tan removal,Turmeric Saffron Neem Oil Aloe Vera,,,,,
Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin ,Niacinamide Bamboo Sheet Mask With Niacinamide & Ginger Extract For Clear & Glowing Skin ,5,598,Pack Of 2,2,,2,Packet,Count,0%,Body Wash,Tea Tree Neem Oat Amino Acids Glycerin,tea tree body wash tea tree neem skin purification pac,Tea Tree Neem Oat Amino Acids Glycerin,,,,,
